StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes_Outbound,Routes_Inbound,Total_Routes,Both_Directions,HasSupport
3442,HBC 299,Công ty Chấn Hưng,Trụ dừng,Huyện Bình Chánh,Xã Lê Minh Xuân,F5/6,Tỉnh lộ 10 Bình Chánh,No,Đang khai thác,106.545657,10.773462,CtCH F Tl10BC,,81,1,No,False
3913,HBC 322,Kênh 6,Trụ dừng,Huyện Bình Chánh,Xã Bình Lợi,Đối diện C9/363,"Vườn Thơm, Bình Chánh",No,Đang khai thác,106.498107,10.765689,K6 DdC VTBC,,81,1,No,False
2447,QBT 022,Nguyễn Thị Tú,Trụ dừng,Quận Bình Tân,Phường Bình Hưng Hòa,810-814,Lê Trọng Tấn,No,Đang khai thác,106.602783,10.815718,NTT 810-814 LTT,,69,1,No,False
33,BX 06,Công Trường Mê Linh,Bến xe,Quận 1,Phường Bến Nghé,Công trường Mê Linh,Thi Sách,No,Đang khai thác,106.705856,10.77679,CTML CtML TS,1,1,2,Yes,False
1793,QBT 090,Công ty Hai Thành,Trụ dừng,Quận Bình Tân,Phường Tân Tạo A,A5/13Q (1054N),Quốc lộ 1A,No,Đang khai thác,106.597519,10.743526,CtHT A( Ql1A,,151,1,No,False
1364,Q7 023,Phạm Hữu Lầu,Trụ dừng,Quận 7,Phường Phú Mỹ,1697-1699,Huỳnh Tấn Phát,No,Đang khai thác,106.737649,10.705547,PHL 1697-1699 HTP,,20,1,No,False
1487,QTD 041,Cây Xăng Bình Chiểu,Trụ dừng,TP. Thủ Đức - KV3,,927-929,Tỉnh lộ 43,No,Đang khai thác,106.731845,10.876154,CXBC 927-929 Tl43,,141,1,No,False
5,Q5 012,Rạp Đại Quang,Nhà chờ,Quận 5,,68,Châu Văn Liêm,No,Đang khai thác,106.658937,10.752566,RDQ 68 CVL,62,1,2,Yes,False
3655,HCC 047,Chùa Pháp Hạnh,Trụ dừng,Huyện Củ Chi,Xã Tân Thông Hội,455A (Đ/d 450),Quốc lộ 22,No,Đang khai thác,106.530776,10.943678,CPH 455A(450) Ql22,,74,1,No,False
3042,LA_2,Hoàng Thái Mart,Ô sơn,Huyện Bình Chánh,,Đối diện 4102 (Đối diện B8/33B6),Quốc lộ 50,No,Đang khai thác,106.658036,10.637843,HTM Dd4102(dB Ql50,47,,1,No,False
2423,QTB 050,Công ty Giấy Mai Lan,Trụ dừng,Quận Tân Bình,,129,Âu Cơ,No,Đang khai thác,106.638982,10.793972,CtGML 129 AC,62,,1,No,False
182,QTB 123,Pico Plaza,Nhà chờ,Quận Tân Bình,,20Bis,Cộng Hòa,No,Đang khai thác,106.653637,10.801254,PP 20Bis CH,,4,1,No,False
3766,Q9 127,Ngã ba Long Phước,Trụ dừng,TP. Thủ Đức - KV2,Phường Long Phước,322-324,Long Thuận,No,Đang khai thác,106.859035,10.811961,NbLP 322-324 LT,88,76,2,Yes,False
2961,QBTH 014,Chung cư Thanh Đa,Nhà chờ,Quận Bình Thạnh,,0011 Lô A,Bình Quới,No,Đang khai thác,106.720762,10.817109,CcTD 0011LA BQ,44,,1,No,False
1522,Q9 085,Trường cấp 3 Long Trường,Trụ dừng,TP. Thủ Đức - KV2,,Kế 23 (Kế 417),Lã Xuân Oai,No,Đang khai thác,106.810913,10.817091,Tc3LT K23(417) LXO,141,,1,No,False
2556,QTP 108,Café Suối Reo,Trụ dừng,Quận Tân Phú,Phường Tân Qúy,43,Tân Hương,No,Đang khai thác,106.628273,10.790343,CSR 43 TH,41,,1,No,False
8089,TPTĐ 219,Ga metro Rạch Chiếc,Nhà chờ,TP. Thủ Đức - KV1,Phường An Phú,Cạnh đại lý Phú Mỹ Ford Chi nhánh An Phú (507C Xa Lộ Hà Nội),Song Hành trái Xa Lộ Hà Nội,Có,Đang khai thác,106.755418,10.809318,GmRC CdlPMFCnAP(XLHN SHtXLHN,,99,1,No,True
692,HBC 244,Chùa Liên Hoa,Trụ dừng,Huyện Bình Chánh,,Đ/d 3/14B (Chùa Liên Hoa),Hương lộ 11,No,Đang khai thác,106.586035,10.656206,CLH D3/14B(LH Hl11,,9,1,No,False
3658,HCC 052,Chợ chiều Tân Phú Trung,Trụ dừng,Huyện Củ Chi,Xã Tân Phú Trung,85C,Quốc lộ 22,No,Đang khai thác,106.552808,10.931917,CcTPT 85C Ql22,,74,1,No,False
710,QBT 005,Lâm Thành,Trụ dừng,Quận Bình Tân,Phường An Lạc,289(561),Kinh Dương Vương,No,Đang khai thác,106.61298,10.734278,LT 289(561) KDV,102,"9, 61, 84, 151",5,Yes,False
7648,QTD 253,KTX Khu A ĐH Quốc Gia TPHCM,Nhà chờ,TP. Thủ Đức - KV3,Phường Linh Trung,Nút giao Quảng trường (hướng vào),Quảng Trường Sáng Tạo,Có,Đang khai thác,106.804968,10.875886,KKADQGT NgQt(v QTST,99,,1,No,True
4193,Q9 030,Đại lộ 2,Ô sơn,TP. Thủ Đức - KV2,,433-435,Đỗ Xuân Hợp,No,Đang khai thác,106.773269,10.818379,Dl2 433-435 DXH,29,,1,No,False
4068,Q2 059,Lê Văn Thịnh,Trụ dừng,TP. Thủ Đức - KV1,,537-537D,Nguyễn Duy Trinh,No,Đang khai thác,106.770764,10.788639,LVT 537-537D NDT,,"29, 88, 153",3,No,False
2156,HBC 410,Cầu Chợ Đệm,Trụ dừng,Huyện Bình Chánh,Thị trấn Tân Túc,A1/1,Nguyễn Hữu Trí,No,Đang khai thác,106.580885,10.693112,CCD A NHT,"73, 84",,2,No,False
667,HBC 260,Tân Liễu,Trụ dừng,Huyện Bình Chánh,Xã Quy Đức,Cột điện 117P (B1/14B),Hương Lộ 11,No,Đang khai thác,106.632668,10.645615,TL Cd117P( HL11,9,,1,No,False
946,BX37,Bến xe Ngã tư Ga,Bến xe,Quận 12,,Bến xe Ngã Tư Ga,Quốc lộ 1A,No,Đang khai thác,106.67835998535156,10.862156867980955,BxNtG BxNTG Ql1A,"103, 161","103, 161",4,Yes,False
1116,Q12 123,Bến xe An Sương,Trụ dừng,Quận 12,,142,Quốc lộ 22,No,Đang khai thác,106.613361,10.846035,BxAS 142 Ql22,"41, 65, 151",,3,No,False
2929,QBT 263,Bệnh viện Bình Tân,Trụ dừng,Quận Bình Tân,Phường Bình Trị Đông A,Bệnh viện BT,Mã Lò,No,Đang khai thác,106.603798,10.763949,BvBT BvB ML,,41,1,No,False
1524,Q9 082,Ngã tư Samsung,Nhà chờ,TP. Thủ Đức - KV2,,215,Lã Xuân Oai,No,Đang khai thác,106.803707,10.831325,NtS 215 LXO,"76, 141",,2,No,False
868,Q7 092,Đại học RMIT,Trụ dừng,Quận 7,,Trường đại học RMIT,Nguyễn Văn Linh,No,Đang khai thác,106.695061,10.728839,DhR TdhR NVL,102,,1,No,False
7575,Q6 120,Thảo Đường Thiền Tự,Ô sơn,Quận 6,Phường 10,165,Trần Văn Kiểu,Có,Đang khai thác,106.627668,10.740128,TDTT 165 TVK,61,,1,No,True
7069,HNB_127,Làng Đại học Khu B,Ô sơn,Huyện Nhà Bè,Xã Phước Kiển,Đối diện Làng ĐH Khu B,Nguyễn Hữu Thọ,Có,Đang khai thác,106.708714,10.710091,LDhKB DdLDKB NHT,,72,1,No,True
2894,QGV 070,Vòng xoay Nguyễn Huy Điển,Trụ dừng,Quận Gò Vấp,,45,Lê Đức Thọ,No,Tạm ngưng khai thác,106.682466,10.832574,VxNHD 45 LDT,,161,1,No,False
188,QPN 043,Cây xăng Quân khu 7,Trụ dừng,Quận Phú Nhuận,,307,Nguyễn Văn Trỗi,No,Đang khai thác,106.66847,10.799589,CxQk7 307 NVT,,4,1,No,False
382,Q3 071,Bệnh viện Từ Dũ,Trụ dừng,Quận 3,,436,Nguyễn Thị Minh Khai,No,Đang khai thác,106.684883,10.768946,BvTD 436 NTMK,,6,1,No,False
1087,HNB 056,Giáo xứ Tin Mừng,Trụ dừng,Huyện Nhà Bè,,Kế 280 (Cửa sắt Hoàng Cẩn),Nguyễn Văn Tạo,No,Đang khai thác,106.737939,10.622401,GxTM K280(sHC NVT,72,,1,No,False
2090,Q12 031,Công viên Phần mềm Quang Trung,Trụ dừng,Quận 12,,389,Tô Ký,No,Đang khai thác,106.625914,10.853248,CvPmQT 389 TK,,62,1,No,False
1200,Q7 072,ĐH Tôn Đức Thắng,Nhà chờ,Quận 7,Phường Tân Phong,Đối diện 568,Nguyễn Hữu Thọ,No,Đang khai thác,106.700007,10.731416,DTDT Dd568 NHT,72,,1,No,False
275,Q12 132,Chùa Lạc Quang,Nhà chờ,Quận 12,,408,Trường Chinh,No,Đang khai thác,106.620614,10.834781,CLQ 408 TC,"4, 41, 65",,3,No,False
1411,Q10 029,Chợ Phường 10,Trụ dừng,Quận 10,,430,Lý Thái Tổ,No,Đang khai thác,106.673051,10.767865,CP10 430 LTT,69,,1,No,False
3134,HBC 214,Xăng dầu Phong Phú,Trụ dừng,Huyện Bình Chánh,,E10/288,Quốc lộ 50,No,Đang khai thác,106.654957,10.704709,XdPP E Ql50,,47,1,No,False
2047,QGV 185,Ngã Ba Nguyên Hồng,Trụ dừng,Quận Gò Vấp,,566,Lê Quang Định,No,Đang khai thác,106.689,10.817294,NBNH 566 LQD,146,,1,No,False
3422,HBC 367,An Phú Tây,Trụ dừng,Huyện Bình Chánh,Thị trấn Tân Túc,D5/38B (38A),Quốc lộ 1A,No,Đang khai thác,106.593717,10.687614,APT D( Ql1A,9,,1,No,False
585,QTD 154,Chùa An Lạc,Nhà chờ,TP. Thủ Đức - KV3,Phường Hiệp Bình Chánh,Ngã tư Hiệp Bình - PVĐ,Phạm Văn Đồng,Có,Đang khai thác,106.732328,10.837284,CAL NtHB-P PVD,,93,1,No,True
2586,QTP 100,Trạm café Minh Thùy,Trụ dừng,Quận Tân Phú,Phường Tân Qúy,219,Tân Quý,No,Đang khai thác,106.620628,10.792765,TcMT 219 TQ,69,,1,No,False
4017,Q9 164,Trạm y tế,Trụ dừng,TP. Thủ Đức - KV2,,1786 (Đối diện Trạm y tế),Nguyễn Duy Trinh,No,Đang khai thác,106.830009,10.809566,Tyt 1786(dTyt NDT,88,,1,No,False
1144,HNB 023,Ngân hàng Agribank,Nhà chờ,Huyện Nhà Bè,Thị trấn Nhà Bè,18,Huỳnh Tấn Phát,No,Đang khai thác,106.743202,10.687393,NhA 18 HTP,,20,1,No,False
7603,QBT 306,Chung cư Green Town,Nhà chờ,Quận Bình Tân,Phường Bình Hưng Hoà B,Chung cư GreenTown ,Đường số 3,Có,Đang khai thác,106.591871,10.805296,CcGT CcG Ds3,,69,1,No,True
