stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
10,Q5 060,Chung cư Nguyễn Trãi,"Old: 549 Nguyễn Trãi, Phường 7, Quận 5 | New: 549 Nguyễn Trãi, Phường An Đông | Inbound: 1",10.754337,106.668572,Quận 5,,0,2
100,Q11 001,Nhà sách Phương Nam,"Old: 940 (6B) Đường 3/2, Phường 15, Quận 11 | New: 940 (6B) Đường 3/2, Phường Phú Thọ | Inbound: 103",10.763115,106.658409,Quận 11,,0,2
1000,QTB 061,Hồ Bơi Cộng Hòa,"Old: 1003 Cách Mạng Tháng Tám, Phường 4, Quận Tân Bình | New: 1003 Cách Mạng Tháng Tám, Phường Tân Sơn Nhất | Inbound: 65, 103",10.790114,106.65846,Quận Tân Bình,,0,2
1001,QTB 063,Ngã ba Bành Văn Trân,"Old: 755-757 (771) Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình | New: 755-757 (771) Cách Mạng Tháng Tám, Phường Tân Hòa | Inbound: 65, 103",10.78785,106.66274,Quận Tân Bình,,0,2
1002,QTB 062,Ông Tạ,"Old: 907 Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình | New: 907 Cách Mạng Tháng Tám, Phường Tân Sơn Nhất | Inbound: 65, 103",10.789261,106.660075,Quận Tân Bình,,0,2
1003,Q10 083,Công viên Lê Thị Riêng,"Old: 875 Cách Mạng Tháng Tám, Phường 15, Quận 10 | New: 875 Cách Mạng Tháng Tám, Phường Hòa Hưng | Inbound: 65, 103",10.786236,106.665777,Quận 10,,0,2
1004,Q10 091,Công viên Lê Thị Riêng,"Old: Đối diện 69 Trường Sơn, Phường 15, Quận 10 | New: Đối diện 69 Trường Sơn, Phường Hòa Hưng | Inbound: 103",10.784571,106.665756,Quận 10,,0,2
1005,Q10 092,Ngã tư Nguyễn Giản Thanh,"Old: BB14ter Trường Sơn, Phường 15, Quận 10 | New: BB14ter Trường Sơn, Phường Hòa Hưng | Inbound: 103",10.781973,106.663696,Quận 10,,0,2
1006,Q10 090,Trường THPT Nguyễn Du,"Old: XX1 Đồng Nai, Phường 15, Quận 10 | New: XX1 Đồng Nai, Phường Hòa Hưng | Inbound: 103",10.779224,106.662399,Quận 10,,0,2
1007,Q10 062,Ngân hàng Quân Đội,"Old: 136 Tô Hiến Thành, Phường 12, Quận 10 | New: 136 Tô Hiến Thành, Phường Diên Hồng | Outbound: 69 | Inbound: 103",10.775531,106.662819,Quận 10,,0,2
1008,Q10 060,Bệnh viện Trưng Vương,"Old: 142 Tô Hiến Thành, Phường 14, Quận 10 | New: 142 Tô Hiến Thành, Phường Diên Hồng | Outbound: 69 | Inbound: 103",10.771244,106.659096,Quận 10,,0,2
1009,Q10 093,Ngã tư Đồng Nai,"Old: F4 Trường Sơn, Phường 11, Quận 10 | New: F4 Trường Sơn, Phường Hòa Hưng | Inbound: 103",10.781213,106.661819,Quận 10,,0,2
101,Q11 002,Lê Đại Hành,"Old: 972-974(970) Đường 3/2, Phường 11, Quận 11 | New: 972-974(970) Đường 3/2, Phường Phú Thọ | Inbound: 103",10.761842,106.65603,Quận 11,,0,2
1011,Q10 070,Thành Thái nối dài,"Old: 197B27 Thành Thái nd, Phường 11, Quận 10 | New: 197B27 Thành Thái nd, Phường Diên Hồng | Inbound: 103",10.777697,106.662086,Quận 10,,0,2
1013,Q10 061,Đại học Bách Khoa (cổng sau),"Old: 350 Tô Hiến Thành, Phường 11, Quận 10 | New: 350 Tô Hiến Thành, Phường Diên Hồng | Outbound: 69 | Inbound: 103",10.773322,106.661125,Quận 10,,0,2
1014,Q11 025,Đường 3/2,"Old: 170-172 Lê Đại Hành, Phường 11, Quận 11 | New: 170-172 Lê Đại Hành, Phường Minh Phụng | Outbound: 62",10.761831,106.657323,Quận 11,,0,2
1015,Q11 083,Trạm Trần Quý - Tạ Uyên,"Old: 193 Tạ Uyên, Phường 01, Quận 11 | New: 193 Tạ Uyên, Phường Minh Phụng | Inbound: 103",10.758068,106.653492,Quận 11,,0,2
1016,Q11 033,Cổng chào Công viên Đầm sen,"Old: 20 Lãnh Binh Thăng, Phường 11, Quận 11 | New: 20 Lãnh Binh Thăng, Phường Phú Thọ | Outbound: 62",10.762285,106.655858,Quận 11,,0,2
1017,Q5 080,Tạ Uyên,"Old: 79 Tạ Uyên, Phường 01, Quận 5 | New: 79 Tạ Uyên, Phường Chợ Lớn | Inbound: 103",10.755201,106.653696,Quận 5,,0,2
1018,Q11 035,Công viên Lãnh Binh Thăng,"Old: Đối diện Trường mầm non (278) Lãnh Binh Thăng, Phường 01, Quận 11 | New: Đối diện Trường mầm non (278) Lãnh Binh Thăng, Phường Phú Thọ | Outbound: 62",10.76307,106.650746,Quận 11,,0,2
1020,Q11 040,Tòa án nhân dân Quận 11,"Old: 150 Ông Ích Khiêm, Phường Hoà Thạnh, Quận 11 | New: 150 Ông Ích Khiêm, Phường Bình Thới | Outbound: 62, 69",10.76659,106.643082,Quận 11,,0,2
1023,Q11 034,Chợ Phú Thọ,"Old: 134 Lãnh Binh Thăng, Phường 01, Quận 11 | New: 134 Lãnh Binh Thăng, Phường Phú Thọ | Outbound: 62",10.762522,106.653798,Quận 11,,0,2
1024,Q11 036,Nhà văn hóa Quận 11,"Old: 284 Lãnh Binh Thăng, Phường 01, Quận 11 | New: 284 Lãnh Binh Thăng, Phường Phú Thọ | Outbound: 62",10.763813,106.649389,Quận 11,,0,2
1027,Q11 037,Chợ Lãnh Binh Thăng,"Old: 308-310 Lãnh Binh Thăng, Phường Hoà Thạnh, Quận 11 | New: 308-310 Lãnh Binh Thăng, Phường Phú Thọ | Outbound: 62",10.76512,106.646926,Quận 11,,0,2
1029,Q11 043,Bãi xe buýt Đầm Sen,"Old: 40A Hòa Bình, Phường Hoà Thạnh, Quận 11 | New: 40A Hòa Bình, Phường Hòa Bình | Outbound: 62, 69",10.767196,106.641176,Quận 11,,0,2
103,Q11 003,Tạ Uyên,"Old: 1114A-1116A Đường 3/2, Phường 01, Quận 11 | New: 1114A-1116A Đường 3/2, Phường Phú Thọ | Inbound: 103",10.760535,106.653557,Quận 11,,0,2
1040,QTD 171,ĐH Kinh tế Luật,"Old: Đối diện 665-CoopXtra Quốc lộ 1, Phường Linh Trung, TP. Thủ Đức - KV3 | New: Đối diện 665-CoopXtra Quốc lộ 1, Phường Linh Trung | Outbound: 93",10.869306,106.776724,TP. Thủ Đức - KV3,,0,2
1041,QTD 172,Công ty điện tử Samsung,"Old: Công ty điện tử Samsung Quốc lộ 1, Phường Linh Trung, TP. Thủ Đức - KV3 | New: Công ty điện tử Samsung Quốc lộ 1, Phường Linh Trung | Outbound: 93",10.868691,106.778656,TP. Thủ Đức - KV3,,0,2
1042,QTD 173,ĐH Nông Lâm,"Old: Cột điện SI 2 Quốc lộ 1, Phường Linh Trung, TP. Thủ Đức - KV3 | New: Cột điện SI 2 Quốc lộ 1, Phường Linh Trung | Outbound: 93",10.867122,106.787277,TP. Thủ Đức - KV3,,0,2
1043,Q11 047,Ngã tư Hòa Bình,"Old: 3 (79) Hòa Bình, Phường Hoà Thạnh, Quận 11 | New: 3 (79) Hòa Bình, Phường Bình Thới | Inbound: 62, 69",10.76698,106.641571,Quận 11,,0,2
1044,Q11 041,Tòa án nhân dân Quận 11,"Old: 85 Ông Ích Khiêm, Phường Hoà Thạnh, Quận 11 | New: 85 Ông Ích Khiêm, Phường Bình Thới | Inbound: 62, 69",10.766342,106.643349,Quận 11,,0,2
1045,Q11 042,Ông Ích Khiêm,"Old: 43 Ông Ích Khiêm, Phường Hoà Thạnh, Quận 11 | New: 43 Ông Ích Khiêm, Phường Bình Thới | Inbound: 62, 69",10.765737,106.645157,Quận 11,,0,2
1046,Q11 038,Chợ Lãnh Binh Thăng,"Old: 307 Lãnh Binh Thăng, Phường Hoà Thạnh, Quận 11 | New: 307 Lãnh Binh Thăng, Phường Bình Thới | Inbound: 62",10.765057,106.646755,Quận 11,,0,2
1047,Q11 039,Công viên Lãnh Binh Thăng,"Old: 281A (Siêu thị Vinatex) Lãnh Binh Thăng, Phường 01, Quận 11 | New: 281A (Siêu thị Vinatex) Lãnh Binh Thăng, Phường Bình Thới | Inbound: 62",10.763238,106.650167,Quận 11,,0,2
1048,Q11 048,Trường Trung học Phú Thọ,"Old: 316 Tôn Thất Hiệp, Phường 01, Quận 11 | New: 316 Tôn Thất Hiệp, Phường Phú Thọ | Inbound: 62",10.760904,106.65264,Quận 11,,0,2
1049,Q11 049,Chợ Thiết,"Old: 167-169 Phó Cơ Điều, Phường 11, Quận 11 | New: 167-169 Phó Cơ Điều, Phường Minh Phụng | Inbound: 62",10.761036,106.656982,Quận 11,,0,2
1050,Q5 042,Chợ Thiếc,"Old: 231-233(235) Nguyễn Chí Thanh, Phường 11, Quận 5 | New: 231-233(235) Nguyễn Chí Thanh, Phường Chợ Lớn | Inbound: 62",10.757568,106.657616,Quận 5,,0,2
1055,HNB 001,Chợ Phú Xuân,"Old: 1678-1680 (26/1-26/2) Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè | New: 1678-1680 (26/1-26/2) Huỳnh Tấn Phát, Thị trấn Nhà Bè | Outbound: 20",10.701088,106.73817,Huyện Nhà Bè,,0,2
1058,HNB 003,Công an Thị trấn Nhà Bè,"Old: 242 (42/7) Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè | New: 242 (42/7) Huỳnh Tấn Phát, Thị trấn Nhà Bè | Outbound: 20",10.695869,106.739666,Huyện Nhà Bè,,0,2
1059,HNB 002,Chợ Phú Xuân,"Old: 1809-1811 Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè | New: 1809-1811 Huỳnh Tấn Phát, Thị trấn Nhà Bè | Inbound: 20",10.70114,106.738315,Huyện Nhà Bè,,0,2
1060,HNB 006,Ngân hàng Agribank,"Old: 2132 Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè | New: 2132 Huỳnh Tấn Phát, Thị trấn Nhà Bè | Outbound: 20",10.686992,106.743314,Huyện Nhà Bè,,0,2
1061,HNB 004,Trường Lâm Văn Bền,"Old: 57/4 Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè | New: 57/4 Huỳnh Tấn Phát, Thị trấn Nhà Bè | Outbound: 20",10.69345,106.740546,Huyện Nhà Bè,,0,2
1062,HNB 008,Đào Tông Nguyên,"Old: Đối diện 23/5 Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè | New: Đối diện 23/5 Huỳnh Tấn Phát, Xã Phú Xuân | Outbound: 20",10.682021,106.746764,Huyện Nhà Bè,,0,2
1063,HNB 005,Chùa Lá,"Old: Kế 4/11C Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè | New: Kế 4/11C Huỳnh Tấn Phát, Thị trấn Nhà Bè | Outbound: 20",10.690113,106.741694,Huyện Nhà Bè,,0,2
1064,HNB 010,Ngã Ba Bờ Đăng,"Old: 12/8H Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè | New: 12/8H Huỳnh Tấn Phát, Xã Phú Xuân | Outbound: 20",10.6784,106.753196,Huyện Nhà Bè,,0,2
1065,HNB 007,Chùa Pháp Võ,"Old: 536 Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè | New: 536 Huỳnh Tấn Phát, Xã Phú Xuân | Outbound: 20",10.683998,106.74538,Huyện Nhà Bè,,0,2
1066,HNB 009,Công Tiến Thọ,"Old: 2374 (15/6B) Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè | New: 2374 (15/6B) Huỳnh Tấn Phát, Xã Phú Xuân | Outbound: 20",10.679275,106.750803,Huyện Nhà Bè,,0,2
1074,HNB 073,Hàng Tre,"Old: Đối diện 206 Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè | New: Đối diện 206 Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.663817,106.725929,Huyện Nhà Bè,,0,2
1076,HNB 072,Trường Long Thới,"Old: Công an huyện Nhà Bè Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè | New: Công an huyện Nhà Bè Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.656775,106.728176,Huyện Nhà Bè,,0,2
1077,HNB 071,Bệnh viện Nhân Tâm,"Old: 288 (239) Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè | New: 288 (239) Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.6529,106.729431,Huyện Nhà Bè,,0,2
1078,HNB 112,Vòng xoay Long Thới,"Old: 74 Nguyễn Văn Tạo, Xã Phước Kiển, Huyện Nhà Bè | New: 74 Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.667366,106.724791,Huyện Nhà Bè,,0,2
1079,HNB 069,Công ty may Đại Sơn,"Old: 482B Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè | New: 482B Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.647491,106.731148,Huyện Nhà Bè,,0,2
1080,HNB 070,Chợ Bà Chồi,"Old: 372 (Chợ Bà Chồi) Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè | New: 372 (Chợ Bà Chồi) Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.650117,106.730316,Huyện Nhà Bè,,0,2
1081,HNB 068,Trung tâm dạy nghề,"Old: 568 (Đ/d Trung tâm dạy nghề Nhà Bè ) Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè | New: 568 (Đ/d Trung tâm dạy nghề Nhà Bè ) Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.642867,106.732651,Huyện Nhà Bè,,0,2
1082,HNB 066,Cầu Hiệp Phước,"Old: 718 Nguyễn Văn Tạo, Thị trấn Nhà Bè, Huyện Nhà Bè | New: 718 Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.634253,106.735284,Huyện Nhà Bè,,0,2
1084,HNB 114,Thành Công,"Old: CHVLXD Thành Công Nguyễn Văn Tạo, Thị trấn Nhà Bè, Huyện Nhà Bè | New: CHVLXD Thành Công Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.626165,106.737118,Huyện Nhà Bè,,0,2
1085,HNB 065,Ngã tư Long Hậu,"Old: Đối diện 929 Nguyễn Văn Tạo, Thị trấn Nhà Bè, Huyện Nhà Bè | New: Đối diện 929 Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.630685,106.736143,Huyện Nhà Bè,,0,2
1086,HNB 063,Công an xã Hiệp Phước,"Old: Đối diện cửa hàng Ba Thủy Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè | New: Đối diện cửa hàng Ba Thủy Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.617386,106.739017,Huyện Nhà Bè,,0,2
1087,HNB 056,Giáo xứ Tin Mừng,"Old: Kế 280 (Cửa sắt Hoàng Cẩn) Nguyễn Văn Tạo, Thị trấn Nhà Bè, Huyện Nhà Bè | New: Kế 280 (Cửa sắt Hoàng Cẩn) Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.622401,106.737939,Huyện Nhà Bè,,0,2
1088,BX 71,Cầu Kênh Lộ,"Old: Đầu bến kênh lộ Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè | New: Đầu bến kênh lộ Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72 | Inbound: 72",10.598307,106.742727,Huyện Nhà Bè,,0,2
1089,HNB 062,Chùa Phước Linh,"Old: Cột điện 141P Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè | New: Cột điện 141P Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.609535,106.739983,Huyện Nhà Bè,,0,2
1091,HNB 061,Nhà Tưởng niệm Liệt sỹ Nhà Bè,"Old: 1/58A Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè | New: 1/58A Nguyễn Văn Tạo, Xã Hiệp Phước | Outbound: 72",10.604421,106.741072,Huyện Nhà Bè,,0,2
1092,Q1 0250,Bảo tàng Tôn Đức Thắng,"Old: Đối diện số 1A (đối diện Doanh trại Quân đội) Tôn Đức Thắng, Phường Bến Nghé, Quận 1 | New: Đối diện số 1A (đối diện Doanh trại Quân đội) Tôn Đức Thắng, Phường Bến Nghé | Outbound: 88",10.776845,106.70696,Quận 1,,0,2
1094,Q1 027,Ba Son,"Old: 2 Tôn Đức Thắng, Phường Bến Nghé, Quận 1 | New: 2 Tôn Đức Thắng, Phường Sài Gòn | Outbound: 44, 88",10.781804,106.706922,Quận 1,,0,2
1095,Q1 028,TTTM Sài Gòn,"Old: 6 Tôn Đức Thắng, Phường Bến Nghé, Quận 1 | New: 6 Tôn Đức Thắng, Phường Sài Gòn | Inbound: 44",10.784286,106.704363,Quận 1,,0,2
110,Q6 026,Chợ Hoa,"Old: 460-462 Hậu Giang, Phường 01, Quận 6 | New: 460-462 Hậu Giang, Phường Phú Lâm | Outbound: 61",10.748714,106.637437,Quận 6,,0,2
1101,QTD 181,ĐH Nông Lâm,"Old: Kế 21 Quốc lộ 1, Phường Linh Trung, TP. Thủ Đức - KV3 | New: Kế 21 Quốc lộ 1, Phường Đông Hòa | Inbound: 93",10.867404,106.787265,TP. Thủ Đức - KV3,,0,2
1102,QTD 182,Công ty điện tử Samsung,"Old: 34/38 (Kế 59/6) Quốc lộ 1, Phường Linh Trung, TP. Thủ Đức - KV3 | New: 34/38 (Kế 59/6) Quốc lộ 1, Phường Đông Hòa | Inbound: 93",10.867867,106.782201,TP. Thủ Đức - KV3,,0,2
1103,QTD 183,Đại học Kinh tế -Luật,"Old: Đại học Kinh tế -Luật Quốc lộ 1, Phường Linh Xuân, TP. Thủ Đức - KV3 | New: Đại học Kinh tế -Luật Quốc lộ 1, Phường Linh Xuân | Inbound: 93",10.869427,106.77726,TP. Thủ Đức - KV3,,0,2
111,Q6 025,Cầu Hậu Giang,"Old: 212A Hậu Giang, Phường 01, Quận 6 | New: 212A Hậu Giang, Phường Bình Tây | Outbound: 61",10.749736,106.641503,Quận 6,,0,2
1115,Q12 122,Bến xe An Sương,"Old: F42 Quốc lộ 22, Xã Bà Điểm, Quận 12 | New: F42 Quốc lộ 22, Phường Trung Mỹ Tây | Outbound: 4",10.845803,106.613517,Quận 12,,0,2
1116,Q12 123,Bến xe An Sương,"Old: 142 Quốc lộ 22, Xã Bà Điểm, Quận 12 | New: 142 Quốc lộ 22, Phường Trung Mỹ Tây | Outbound: 41, 65, 151",10.846035,106.613361,Quận 12,,0,2
1117,Q12 124,Bến xe An Sương,"Old: 8C Quốc lộ 22, Xã Bà Điểm, Quận 12 | New: 8C Quốc lộ 22, Phường Trung Mỹ Tây | Outbound: 74",10.846293,106.6132,Quận 12,,0,2
1118,HNB 060,Nhà Tưởng niệm Liệt sỹ Nhà Bè,"Old: Đối diện Nghĩa trang liệt sỹ Nhà Bè Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè | New: Đối diện Nghĩa trang liệt sỹ Nhà Bè Nguyễn Văn Tạo, Xã Hiệp Phước | Inbound: 72",10.604189,106.741308,Huyện Nhà Bè,,0,2
1119,HNB 059,Chùa Phước Linh,"Old: 1095 Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè | New: 1095 Nguyễn Văn Tạo, Xã Hiệp Phước | Inbound: 72",10.610005,106.740074,Huyện Nhà Bè,,0,2
1120,HNB 057,Giáo xứ Tin Mừng,"Old: Kế 919 (1733) Nguyễn Văn Tạo, Thị trấn Nhà Bè, Huyện Nhà Bè | New: Kế 919 (1733) Nguyễn Văn Tạo, Xã Hiệp Phước | Inbound: 72",10.622153,106.738159,Huyện Nhà Bè,,0,2
1121,HNB 058,Công an xã Hiệp Phước,"Old: 1244 (Cửa sắt Ba Thủy) Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè | New: 1244 (Cửa sắt Ba Thủy) Nguyễn Văn Tạo, Xã Hiệp Phước | Inbound: 72",10.617645,106.739157,Huyện Nhà Bè,,0,2
1122,HNB 064,Thành Công,"Old: 849 (280) Nguyễn Văn Tạo, Thị trấn Nhà Bè, Huyện Nhà Bè | New: 849 (280) Nguyễn Văn Tạo, Xã Hiệp Phước | Inbound: 72",10.626002,106.73737,Huyện Nhà Bè,,0,2
1123,HNB 055,Ngã tư Long Hậu,"Old: 921 Nguyễn Văn Tạo, Thị trấn Nhà Bè, Huyện Nhà Bè | New: 921 Nguyễn Văn Tạo, Xã Hiệp Phước | Inbound: 72",10.631169,106.736104,Huyện Nhà Bè,,0,2
1125,HNB 053,Cầu Hiệp Phước,"Old: 78/4 Nguyễn Văn Tạo, Thị trấn Nhà Bè, Huyện Nhà Bè | New: 78/4 Nguyễn Văn Tạo, Xã Hiệp Phước | Inbound: 72",10.634638,106.735364,Huyện Nhà Bè,,0,2
1126,HNB 052,Trung tâm dạy nghề,"Old: 189 Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè | New: 189 Nguyễn Văn Tạo, Xã Hiệp Phước | Inbound: 72",10.643189,106.732677,Huyện Nhà Bè,,0,2
1127,HNB 049,Bệnh viện Nhân Tâm,"Old: Kế 205 (155) Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè | New: Kế 205 (155) Nguyễn Văn Tạo, Xã Hiệp Phước | Inbound: 72",10.653391,106.729415,Huyện Nhà Bè,,0,2
